ISIN,symbol
IE00B42Z5J44,IJPE
IE00B7XYN974,IJPH
IE00B4M7GH52,IPOL,SPOL
IE00B441G979,IWDE
IE00B42YS929,IGWD
IE00B6R51Z18,IOGP,SPOG
IE00B4MCHD36,ICDU,IUCD
IE00B40B8R38,ICSU,IUCS
IE00B42NKQ00,IESU,IUES
IE00B3ZW0K18,IUSE
IE00B4JNQZ49,IUFS,UIFS
IE00B3Y8X563,IGUS
IE00B43HR379,IHCU,IUHC
IE00B4LN9N13,IISU,IUIS
IE00B3WJKG14,IITU,IUIT
IE00B4MKCJ84,IMSU,IUMS
IE00B4KBBD01,IUSU,IUUS
IE00B428Z604,IESP
IE00BFMM8Y81,SPEH
IE00BD3V0B10,BNKS
IE00BZ171348,GAAA
IE00BZ173W74,HLQD
IE00BGR7L912,IBTU
IE00BGSF1X88,IB01
IE00BDFK1573,IBTE
IE00BDDRHB81,0A0B
IE0005042456,ISF,ISFU
IE00B0M62S72,IDVY
IE00B02KXL92,DJMC
IE0030974079,IQQ1
IE00BDFK3G24,CRHG
IE00BFM6TB42,CRPA
IE00B0M63953,IDEE
